timestamp,temperature,pressure,ambient_temperature,deviation,alert,noise_level_dB,vibration_mm_s_RMS
2025-08-23 00:00,40.2,1.0,25.0,0,,52.3,2.1
2025-08-23 01:00,39.5,1.0,24.8,1,Unusual dip detected,50.1,3.4
2025-08-23 02:00,41.8,1.0,24.6,1,Spike in temperature,54.2,4.8
2025-08-23 03:00,40.1,1.0,24.4,0,,50.2,2.9
2025-08-23 04:00,42.7,1.0,24.2,1,Erratic fluctuation,54.9,5.2
2025-08-23 05:00,39.9,1.0,24.0,1,Drop after spike,51.0,3.1
2025-08-23 06:00,41.0,1.0,23.8,0,,53.8,4.0
2025-08-23 07:00,42.3,1.0,23.6,0,,49.6,2.5
2025-08-23 08:00,43.5,1.1,23.4,0,,52.7,3.7
2025-08-23 09:00,44.8,1.1,23.2,0,,50.3,2.8
2025-08-23 10:00,46.2,1.1,23.0,0,,54.4,4.5
2025-08-23 11:00,47.6,1.2,22.8,0,,51.9,3.0
2025-08-23 12:00,49.1,1.2,22.6,0,,53.0,3.9
2025-08-23 13:00,50.7,1.3,22.4,0,,52.8,3.6
2025-08-23 14:00,52.4,1.3,22.2,0,,52.6,3.4
2025-08-23 15:00,54.2,1.4,22.0,0,,52.4,3.2
2025-08-23 16:00,55.9,1.4,21.8,0,,52.2,3.0
2025-08-23 17:00,57.3,1.5,21.6,0,,52.0,2.9
2025-08-23 18:00,58.4,1.5,21.4,0,,51.8,2.7
2025-08-23 19:00,59.1,1.5,21.2,0,,51.6,2.6
2025-08-23 20:00,59.5,1.5,21.0,0,,51.4,2.5
2025-08-23 21:00,59.7,1.5,20.8,0,,51.2,2.4
2025-08-23 22:00,59.9,1.5,20.6,0,,51.0,2.3
2025-08-23 23:00,60.0,1.5,20.4,0,,50.8,2.2
